"id","date","text","codes","definitions","sections"
"9208945","2015-12-08","1. A storage unit ( 1 , 2 , 3 , 4 ) for storing electrical energy, comprising at least one energy store ( 5 , 6 , 7 , 11 ) which has a positive electrical connecting terminal ( 10 ) and a negative electrical connecting terminal ( 12 ) and is designed to be charged and discharged with electrical energy via the positive connecting terminal ( 10 ) and the negative connecting terminal ( 12 ), characterized in that the storage unit ( 1 , 2 , 3 , 4 ) has an electrically conductive contact rail ( 14 ) which is at least indirectly connected to the positive connecting terminal ( 10 ), and an electrically conductive contact rail ( 16 ) which is at least indirectly connected to the negative connecting terminal ( 12 ), wherein the contact rails ( 14 , 16 ) are each connected to at least one external electrical connecting terminal ( 18 , 20 ) of the storage unit ( 1 ), wherein the contact rails ( 14 , 16 ) are each electrically connected to the respective connecting terminal ( 10 , 12 ) of the energy store ( 5 , 6 , 7 , 11 ) by means of at least one of an electrically conductive fibrous web ( 24 ) and a strand ( 22 ), each comprising a plurality of individual lines.","H01G H01M ","H01G:CAPACITORS; CAPACITORS, RECTIFIERS, DETECTORS, SWITCHING DEVICES, LIGHT-SENSITIVE OR TEMPERATURE-SENSITIVE DEVICES OF THE ELECTROLYTIC TYPE (selection of specified materials as dielectric H01B3/00; capacitors having potential barriers H01L29/00)
;H01M:PROCESSES OR MEANS, e.g. BATTERIES, FOR THE DIRECT CONVERSION OF CHEMICAL ENERGY INTO ELECTRICAL ENERGY
;","H"
"9455636","2016-09-27","1. A device for controlling a power transistor of a power stage, comprising: a divider having a first input, a second input and an output, the divider being configured to produce a voltage reference signal; a first current generator configured to produce an output current; a shaper circuit configured to output to the first input of the divider a first signal based on the output current of the first current generator; a bias circuit configured to output a second signal to the second input of the divider based on the first signal; and a driver circuit having a first input, configured to receive the voltage reference signal, and an output configured to drive the power transistor.","H02M H05B Y02B ","H02M:APPARATUS FOR CONVERSION BETWEEN AC AND AC, BETWEEN AC AND DC, OR BETWEEN DC AND DC, AND FOR USE WITH MAINS OR SIMILAR POWER SUPPLY SYSTEMS; CONVERSION OF DC OR AC INPUT POWER INTO SURGE OUTPUT POWER; CONTROL OR REGULATION THEREOF (transformers H01F; dynamo-electric converters H02K47/00; controlling transformers, reactors or choke coils, control or regulation of electric motors, generators or dynamo-electric converters H02P)
;H05B:ELECTRIC HEATING; ELECTRIC LIGHT SOURCES NOT OTHERWISE PROVIDED FOR; CIRCUIT ARRANGEMENTS FOR ELECTRIC LIGHT SOURCES, IN GENERAL
;Y02B:CLIMATE CHANGE MITIGATION TECHNOLOGIES RELATED TO BUILDINGS, e.g. HOUSING, HOUSE APPLIANCES OR RELATED END-USER APPLICATIONS
;","H Y"
"8804312","2014-08-12","1. An electroconductive polymer composition formed by drying an electroconductive polymer suspension solution which comprises a polyanion having a cross-linked structure, an electroconductive polymer, and a solvent, wherein the polyanion having a cross-linked structure has a main chain of a polystyrene sulfonic acid, wherein the polyanion having a cross-linked structure has a structure obtained by cross-linking a straight-chain polystyrene sulfonic acid using a cross-linking agent, and wherein the cross-linking agent is a compound having two or more epoxy groups selected from the group consisting of sorbitol polyglycdyl ethers,glycerol ethers, pentaerythritol polyglycidyl ethers, diglycerol polyglycidyl ethers, glycerol polyglycidyl ethers, trimethylolpropane polyglycidyl ethers, resorcinol diglycidyl ether, neopentyl glycol diglycidyl ether, 1,6-hexanediol diglycidyl ether, polyethylene glycol diglycidyl ethers, polypropylene glycol diglycidyl ethers, polybutadiene diglycidyl ethers, diglycidvl o-phthalate, hydroquinone diglycidyl ethers, diglycidyl terephthalate, dibromo neopentyl glycol diglycidyl ether, and bisphenol A type epoxy resins.","C08G C08L C09D H01B H01G Y02E ","C08G:MACROMOLECULAR COMPOUNDS OBTAINED OTHERWISE THAN BY REACTIONS ONLY INVOLVING UNSATURATED CARBON-TO-CARBON BONDS
;C08L:COMPOSITIONS OF MACROMOLECULAR COMPOUNDS (compositions based on polymerisable monomers C08F, C08G; artificial filaments or fibres D01F; textile treating compositions D06)
;C09D:COATING COMPOSITIONS, e.g. PAINTS, VARNISHES OR LACQUERS; FILLING PASTES; CHEMICAL PAINT OR INK REMOVERS; INKS; CORRECTING FLUIDS; WOODSTAINS; PASTES OR SOLIDS FOR COLOURING OR PRINTING; USE OF MATERIALS THEREFOR (cosmetics A61K; processes for applying liquids or other fluent materials to surfaces, in general, B05D; staining wood B27K5/02; glazes or vitreous enamels C03C; natural resins, French polish, drying-oils, driers, turpentine, per se, C09F; polishing compositions other than French polish, ski waxes C09G; adhesives or use of materials as adhesives C09J; materials for sealing or packing joints or covers C09K3/10; materials for stopping leaks C09K3/12; processes for the electrolytic or electrophoretic production of coatings C25D)
;H01B:CABLES; CONDUCTORS; INSULATORS; SELECTION OF MATERIALS FOR THEIR CONDUCTIVE, INSULATING OR DIELECTRIC PROPERTIES (selection for magnetic properties H01F1/00; waveguides H01P {; printed circuits H05K})
;H01G:CAPACITORS; CAPACITORS, RECTIFIERS, DETECTORS, SWITCHING DEVICES, LIGHT-SENSITIVE OR TEMPERATURE-SENSITIVE DEVICES OF THE ELECTROLYTIC TYPE (selection of specified materials as dielectric H01B3/00; capacitors having potential barriers H01L29/00)
;Y02E:REDUCTION OF GREENHOUSE GAS [GHG] EMISSIONS, RELATED TO ENERGY GENERATION, TRANSMISSION OR DISTRIBUTION
;","C H Y"
"9221185","2015-12-29","1. A shaving razor cartridge comprising: a housing having a proximal end portion, a distal end portion, and a pair of lateral end portions; at least one blade mounted to the housing, the blade having a cutting edge; a guard at the distal end portion of the housing, wherein the housing, the guard and the blade together define an open area of an opening for water to wash out the blade, the guard and the blade being on opposite sides of the open area; and a plurality of spaced apart projections, each projection having a proximal end portion extending across an edge of the guard and into the open area beyond the edge of the guard in a direction toward the proximal end portion of the housing, a slot disposed between adjacent ones of the spaced apart projections, each slot having a trailing end width disposed closest to the blade and between the respective proximal end portions of the projections, wherein the trailing end width is greater than a leading end width of the slot, and wherein the trailing end width is about 0.7 mm to about 1.2 mm facilitating passage of hair with minimal interference.","B26B ","B26B:HAND-HELD CUTTING TOOLS NOT OTHERWISE PROVIDED FOR (for harvesting A01D; for horticulture, for forestry A01G; for butchering or meat treatment A22; for manufactering or repairing footwear A43D; nail clippers or cutters A45D29/02; kitchen equipment A47J; {vegetable slicers, julienne cutters and similar devices and holders therefor, B26D3/28}; for surgical purposes A61B; for metal B23D; cutting by abrasive fluid jets B24C5/02; plier-like tools with cutting edges B25B7/22; pincers B25C11/02; handles for hand implements, in general B25G; guillotine-type cutters B26D; {perforating by non-mechanical means, e.g. by fluid jet, B26F1/26}; for erasing B43L19/00; for textile materials D06H)
;","B"
"8550886","2013-10-08","1. A ventilation device, comprising: an air feed channel extending to an outflow region; and first and second flow direction components in the outflow region, the second flow direction component comprising a first lamellar structure and a second lamellar structure, the first and second flow direction components being coupled for movement relative to one another between a first configuration in which air flow from the air feed channel flows out only through the first lamellar structure of the second flow direction component and a second configuration in which air flow from the air feed channel flows out only through the second lamellar structure of the second flow direction component, lamellae of the first lamellar structure lying substantially parallel to one another, while lamellae of the second lamellar structure are tilted to one another in a fan-like manner.","B60H F24F ","B60H:ARRANGEMENTS OF HEATING, COOLING, VENTILATING OR OTHER AIR-TREATING DEVICES SPECIALLY ADAPTED FOR PASSENGER OR GOODS SPACES OF VEHICLES
;F24F:AIR-CONDITIONING; AIR-HUMIDIFICATION; VENTILATION; USE OF AIR CURRENTS FOR SCREENING (removing dirt or fumes from areas where they are produced B08B15/00; vertical ducts for carrying away waste gases from buildings E04F17/02; tops for chimneys or ventilating shafts, terminals for flues F23L17/02)
;","B F"
"9014412","2015-04-21","1. An improved loudspeaker comprising diaphragm chassis, top plate, magnet, yoke, voice coil armature, the top plate and yoke defining an annular air gap for the voice coil armature, a face plate comprising an inner periphery defining an opening for a speaker diaphragm having a central diaphragm portion having inner and outer surfaces, a central area and an outer periphery, and an outer annular arch-profiled strip diaphragm portion having an outer periphery and an inner periphery, the central diaphragm portion being attached along the outer periphery of the central diaphragm portion to one of the voice coil armature and the inner periphery of the outer diaphragm portion, the outer periphery of the outer diaphragm portion being attached to the diaphragm chassis in a first plane, wherein the improvement comprises: a bridge member at least partially spanning the opening in the face plate and comprising a plurality of forwardly arched extension members interconnecting at a central intersection forward of the central diaphragm portion of the speaker diaphragm, each extension member depending from an attachment location on the face plate periphery defining the opening and that is equidistant from a next attachment location of an extension member around the periphery of the face plate; a ring-shaped support member centered forward of the central area of the central diaphragm portion of the speaker diaphragm, said ring-shaped support member interconnecting the plurality of extension members at an intermediate location along each of the extension members; a stabilizing member further comprising one of a support member having a plurality of fins, a support member that is star-shaped in cross section, a support member that is plus-shaped in cross-section, a support member that has an inverted frustoconical shape in cross-section, a support member having integral support ribs, and a support member that has a finned inverted frustoconical shape in cross-section, said stabilizing member further comprising a proximal portion and a distal portion, the distal portion of said stabilizing member being attached to the central intersection location of the extension members of said bridge member and the proximal portion of said stabilizing member being attached to the central area of the central diaphragm portion in a second plane parallel to the first plane and that is of sufficient distance from the first plane to provide out-of-axis movement resistance sufficient to stabilize the diaphragm against rocking.","H04R ","H04R:LOUDSPEAKERS, MICROPHONES, GRAMOPHONE PICK-UPS OR LIKE ACOUSTIC ELECTROMECHANICAL TRANSDUCERS; DEAF-AID SETS; PUBLIC ADDRESS SYSTEMS (generating mechanical vibrations in general B06B; transducers for measuring particular variables G01; transducers in clocks G04; producing sounds with frequency not determined by supply frequency G10K; transducers in recording or reproducing heads G11B; transducers in motors H02)
;","H"
"8846602","2014-09-30","1. A method for treating a disease selected from a cancer, a virus disease, autoimmune disease, acute or chronic inflammatory disease, and a disease caused by bacteria, fungi, or other micro-organisms, comprising administering to a patient in need thereof a therapeutically effective amount of a substance comprising: at least one active compound selected from a cytostatic agent, a cytokine, an immunosuppressive agent, a virostatic agent, an antirheumatic agent, an analgesic, an anti-inflammatory agent, an antibiotic, an antimycotic agent, a signal transduction inhibitor, an angiogenesis inhibitor, and a protease inhibitor; at least one covalently protein-binding molecular residue selected from a maleimide, a haloacetamide, a haloacetate, a pyridylthio, a N-hydroxysuccinimide ester, an isothiocyanate, a disulfide, a vinylcarbonyl, an aziridine, and an acetylene; and a spacer comprising an organic molecular residue, which contains at least one aromatic moiety or at least one aliphatic carbon chain or an aliphatic carbon ring having 1-12 carbon atoms, some of which can be replaced with oxygen; wherein the protein-binding molecular residue is linked to the active compound through the spacer, and wherein the protein-binding molecular residue is not bound to a carrier protein.","A61K ","A61K:PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)
;","A"
"9412757","2016-08-09","1. A semiconductor device comprising a first standard cell, the first standard cell comprising: a first impurity diffusion region formed in a substrate; an isolation region formed in the substrate, the isolation region surrounding the first impurity diffusion region or separating the first impurity diffusion region from another impurity diffusion region; a potential supply interconnect formed in an interconnect layer above the first impurity diffusion region, and extending in a first direction; a first local interconnect formed in contact with an upper surface of the first impurity diffusion region and an upper surface of the isolation region, and disposed below the potential supply interconnect; and a first contact hole electrically coupling the first local interconnect to the potential supply interconnect.","H01L ","H01L:SEMICONDUCTOR DEVICES NOT COVERED BY CLASS H10 (use of semiconductor devices for measuring G01; resistors in general H01C; magnets, inductors or transformers H01F; capacitors in general H01G; electrolytic devices H01G9/00; batteries or accumulators H01M; waveguides, resonators or lines of the waveguide type H01P; line connectors or current collectors H01R; stimulated-emission devices H01S; electromechanical resonators H03H; loudspeakers, microphones, gramophone pick-ups or like acoustic electromechanical transducers H04R; electric light sources in general H05B; printed circuits, hybrid circuits, casings or constructional details of electrical apparatus, manufacture of assemblages of electrical components H05K; use of semiconductor devices in circuits having a particular application, see the subclass for the application)
;","H"
"9031937","2015-05-12","1. A computer-implemented method, the method comprising: receiving, by a search system from a user device, a search query submitted by a user through a search interface of a website of a content provider; identifying, by the search system, a context file provided by the content provider, the context file identifying one or more document collections to be searched by the search system to obtain search results for users requesting searches through the search interface of the content provider; obtaining, by the search system, search results that satisfy the search query, wherein each search result of the one or more search results identifies a resource in the one or more document collections specified by the content provider in the context file; and providing the one or more search results to the user device for presentation to the user as a response to the search query.","G06F Y10S ","G06F:ELECTRIC DIGITAL DATA PROCESSING (computer systems based on specific computational models G06N)
;Y10S:TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS
;","G Y"
"8375509","2013-02-19","1. A cyclonic separating apparatus for a cleaning appliance, comprising first, second and third cyclonic separators arranged in series for separating particles from a dirt- and dust-laden airflow, first, second and third collectors each for collecting dirt and dust separated from a respective cyclonic separator, a closure member movable between a closed position in which the closure member closes an end of each collector and an open position in which separated dirt and dust can be emptied from the collectors, the ends of the collectors being separated by dividing walls, and a common seal mounted on the base to seal between the closure member and each of the dividing walls when the closure member is in the closed position.","A47L ","A47L:DOMESTIC WASHING OR CLEANING (brushes A46B; cleaning quantities of bottles or of other hollow articles of one kind B08B9/00; laundry D06F); SUCTION CLEANERS IN GENERAL (cleaning in general B08)
;","A"
"8751584","2014-06-10","1. A method comprising: receiving, at a presence access layer (PAL) server, a service request from a watcher or PAL client, the service request including a service identifier; retrieving a profile template to establish presence-related parameters for a service associated with the service identifier; and using the presence-related parameters at the PAL server for rendering functionality, on behalf of an application or the service, to the watcher or PAL client.","H04L ","H04L:TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION (arrangements common to telegraphic and telephonic communication H04M)
;","H"
"9421306","2016-08-23","1. An implantable medical device, comprising: a plurality of first elongate non-biologic elements, at least a portion of which are under a tensile or compressive stress prior to implantation; at least one biologic component comprising a biomatrix surrounding at least a portion of the plurality of first elongate non-biologic elements; and at least one second elongate non-biologic element, wherein the at least one second element secures at least one end portion of the plurality of first elongate non-biologic elements; wherein the plurality of first elongate non-biologic elements have a higher load capacity than the at least one biologic component at the time of implantation; and wherein the at least one biologic component has a higher load capacity than the plurality of first elongate non-biologic elements after implantation and following growth of native cells within the biomatrix.","A61F A61L B29C B29K B29L Y10T ","A61F:FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)
;A61L:METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS OR SURGICAL ARTICLES (preservation of bodies or disinfecting characterised by the agents employed A01N; preserving, e.g. sterilising, food or foodstuffs A23; preparations for medical, dental or toiletry purposes A61K)
;B29C:SHAPING OR JOINING OF PLASTICS; SHAPING OF MATERIAL IN A PLASTIC STATE, NOT OTHERWISE PROVIDED FOR; AFTER-TREATMENT OF THE SHAPED PRODUCTS, e.g. REPAIRING (making preforms B29B11/00; making laminated products by combining previously unconnected layers which become one product whose layers will remain together B32B37/00 - B32B41/00)
;B29K:INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B, B29C OR B29D, RELATING TO MOULDING MATERIALS OR TO MATERIALS FOR {MOULDS, } REINFORCEMENTS, FILLERS OR PREFORMED PARTS, e.g. INSERTS
;B29L:INDEXING SCHEME ASSOCIATED WITH SUBCLASS B29C, RELATING TO PARTICULAR ARTICLES
;Y10T:TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION
;","A B Y"
"8821438","2014-09-02","1. A system for reducing or preventing reperfusion injury to a patient, the system comprising: a catheter including an elongate shaft having a proximal end, a distal end and a length therebetween, the elongate shaft including an inflation lumen and a guidewire lumen, an expandable member disposed at or near the distal end of the elongate shaft, and a handle disposed at or near the proximal end of the elongate shaft, the handle including at least part of a fluid circuit adapted to modulate inflation fluid flow in one direction to inflate and deflate the expandable member.","A61M ","A61M:DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {(Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021)}
;","A"
"8422052","2013-04-16","1. An information processing apparatus connected to an image forming apparatus that performs an authentication operation referring to authentication information for print data in which an authentication print mode is designated, and that performs a print operation of the print data according to a result of the authentication operation, the information processing apparatus comprising: a receiving unit configured to receive information from a user indicating whether to select the authentication print mode; an obtaining unit configured to obtain, when the authentication print mode is selected and authentication information has not been entered, login information used when the user logged into an operating system, the authentication information being transmitted to the image forming apparatus to be used for authentication for the print operation; a setting unit configured to set the login information obtained by the obtaining unit to be the authentication information; a check unit configured to check whether only the login information is settable as the authentication information; a control unit configured to control, via a processor, the authentication information set by the setting unit to be unchangeable by the user in response to only the login information being settable as the authentication information; and a transmission unit configured to transmit the print data and the authentication information to the image forming apparatus when receiving a transmission instruction of the print data.","G06F ","G06F:ELECTRIC DIGITAL DATA PROCESSING (computer systems based on specific computational models G06N)
;","G"
"8964044","2015-02-24","1. An image processing apparatus comprising: an auto continuous-capturing unit for continuously capturing a plurality of unit images; a feature point detecting unit for extracting and setting a feature point to be compared from each unit image; an image matching unit for reducing an error between the unit images by moving and modifying the unit image based on declination of the feature points; an image synthesizing unit for outputting a synthesized image by superposing the unit images; a motion detection range calculating unit for adjusting a size of a motion detection range for detecting the feature point by using a hand-shake limit pixel number, exposure time and capturing interval, wherein the hand-shake limit pixel number is the maximum number of pixels allowing shake not to be substantially perceived in the unit image; and a motion detecting unit for detecting a feature point corresponding to the feature point of the unit image from another unit image in the motion detection range.","H04N ","H04N:PICTORIAL COMMUNICATION, e.g. TELEVISION
;","H"
"8477237","2013-07-02","1. A portable electronic device, comprising: a main body comprising a first barrel positioned thereon; a camera comprising a post; and a holder assembly comprising a first connecting beam defining a first depression and a through hole, a second connecting beam defining a second depression, a second barrel positioning on the second connecting beam; wherein the first barrel and the second barrel are respectively rotatable assembled in the second depression and the first depression; the post is rotatably received in the through hole.","H04M H04N ","H04M:TELEPHONIC COMMUNICATION (circuits for controlling other apparatus via a telephone cable and not involving telephone switching apparatus G08)
;H04N:PICTORIAL COMMUNICATION, e.g. TELEVISION
;","H"
"9257492","2016-02-09","1. A method for producing a passive electronic component, comprising: forming a first electrically conductive layer on a substrate, forming a second electrically conductive layer on the first electrically conductive layer, forming a first trench in the first and second electrically conductive layers such that the substrate is exposed in the first trench, wherein the first trench separates a first contact region from a second contact region, applying a dielectric in a structured fashion to the second electrically conductive layer in the first contact region and at least partly to the substrate in the first trench such that the dielectric electrically insulates the first contact region from the second contact region, and applying an electrically conductive electrode layer in a structured fashion to the dielectric above the first contact region and to the second contact region.","H01G H01L ","H01G:CAPACITORS; CAPACITORS, RECTIFIERS, DETECTORS, SWITCHING DEVICES, LIGHT-SENSITIVE OR TEMPERATURE-SENSITIVE DEVICES OF THE ELECTROLYTIC TYPE (selection of specified materials as dielectric H01B3/00; capacitors having potential barriers H01L29/00)
;H01L:SEMICONDUCTOR DEVICES NOT COVERED BY CLASS H10 (use of semiconductor devices for measuring G01; resistors in general H01C; magnets, inductors or transformers H01F; capacitors in general H01G; electrolytic devices H01G9/00; batteries or accumulators H01M; waveguides, resonators or lines of the waveguide type H01P; line connectors or current collectors H01R; stimulated-emission devices H01S; electromechanical resonators H03H; loudspeakers, microphones, gramophone pick-ups or like acoustic electromechanical transducers H04R; electric light sources in general H05B; printed circuits, hybrid circuits, casings or constructional details of electrical apparatus, manufacture of assemblages of electrical components H05K; use of semiconductor devices in circuits having a particular application, see the subclass for the application)
;","H"
"9485807","2016-11-01","1. A liquid heating apparatus for heating a liquid sulfuric acid solution including a peroxosulfuric acid for use in cleaning a semiconductor, comprising: a liquid flow channel member forming a flow channel defining a passage through which the liquid flows and having a flow channel thickness of 10 mm or smaller, with the liquid flow channel member consisting solely of a radiation transparent quartz composition to transmit near-infrared rays in a heating zone from a near-infrared heater placed over the outside of at least one of opposite flow channel surfaces of the liquid flow channel member for heating the liquid in the flow channel; and at least one spacer placed within the quartz flow channel of thickness of 10 mm or smaller to reduce the volume of the flow channel, wherein each spacer is composed only of radiation transparent quartz, which transmits near-infrared rays, in a rod shaped configuration disposed along the liquid flowing direction and arranged in a row relative to one another within the flow channel.","F24H H05B ","F24H:FLUID HEATERS, e.g. WATER OR AIR HEATERS, HAVING HEAT-GENERATING MEANS, e.g. HEAT PUMPS, IN GENERAL (steam generation F22)
;H05B:ELECTRIC HEATING; ELECTRIC LIGHT SOURCES NOT OTHERWISE PROVIDED FOR; CIRCUIT ARRANGEMENTS FOR ELECTRIC LIGHT SOURCES, IN GENERAL
;","F H"
"8351275","2013-01-08","1. A programming method for a flash memory device that comprises a plurality of banks comprising a plurality of memory cells for storing multi-bit data, the programming method comprising: programming a most significant bit (MSB) page with respect to banks of a first bank group; programming a least significant bit (LSB) page with respect to banks of a second bank group after programming the MSB page with respect to the banks of the first bank group; programming the MSB page with respect to the banks of the second bank group after programming the LSB page with respect to the banks of the second bank group; and programming the LSB page with respect to the banks of the first bank group after programming the MSB page with respect to the banks of the second bank group.","G11C ","G11C:STATIC STORES (semiconductor memory devices H10B)
;","G"
"8817429","2014-08-26","1. A power converter, comprising: a voltage conversion unit that provides a first driving voltage at a first output electrode by converting a power supply voltage in response to a first control signal, the voltage conversion unit being configured to provide a second driving voltage at a second output electrode by converting the power supply voltage after a short detection period, in response to the first control signal, a second control signal being enabled during the short detection period and disabled after the short detection period; and a short detection unit that generates a third control signal by comparing a magnitude of a voltage of the second output electrode with a magnitude of a reference voltage during the short detection period, wherein the voltage conversion unit shuts down the first driving voltage and the second driving voltage in response to the third control signal.","G09G H02H H05B ","G09G:ARRANGEMENTS OR CIRCUITS FOR CONTROL OF INDICATING DEVICES USING STATIC MEANS TO PRESENT VARIABLE INFORMATION (arrangements for transferring data between digital computers and displays G06F3/14; static indicating arrangements comprising an association of a number of separate sources or light control cells G09F9/00; static indicating arrangements comprising integral associations of a number of light sources H01J, H01K, H01L, H05B33/12; scanning, transmission or reproduction of documents or the like, e.g. facsimile transmission, details thereof H04N1/00)
;H02H:EMERGENCY PROTECTIVE CIRCUIT ARRANGEMENTS (indicating or signalling undesired working conditions G01R, e.g. G01R31/00, G08B; locating faults along lines G01R31/08; emergency protective devices H01H)
;H05B:ELECTRIC HEATING; ELECTRIC LIGHT SOURCES NOT OTHERWISE PROVIDED FOR; CIRCUIT ARRANGEMENTS FOR ELECTRIC LIGHT SOURCES, IN GENERAL
;","G H"
"9319640","2016-04-19","1. A system for generating an image display, the system comprising: a camera directed toward a public space for capturing a digital image of a person therein; an electronic display proximate the camera; a computer system coupled to the camera and the electronic display for processing captured images, for displaying the processed captured images on the electronic display, and for selectively controlling the electronic display; and wherein the computer system includes a processor for using global and local attributes to generate templates that are artistic displays with a plurality of window openings each having a unique frame shape for automatic insertion of a corresponding plurality of the processed captured images, and having global and local attributes associated with the template and with each of the window openings, for displaying the generated templates on the display, for selecting at least one template based upon facial expressions of or gestures by the person, and for processing the captured digital image to generate the image display by including the person in the selected template, and for symmetrically scoring the captured images with respect to the template in that a template can be selected in advance and a plurality of highest scoring images are included in the template, or a plurality of images are selected in advance, and then a highest scoring template is selected based on its aesthetic compatibility with the selected images.","G06T H04N ","G06T:IMAGE DATA PROCESSING OR GENERATION, IN GENERAL
;H04N:PICTORIAL COMMUNICATION, e.g. TELEVISION
;","G H"
"9394084","2016-07-19","1. A method of controlling an aircraft electrical system, the electrical system comprising: an alternating current electrical machine comprising a plurality of electrical phases, each phase having a nominal power rating, the electrical machine being configured to operate on failure of one or more phases; the method comprising: determining a power requirement; sensing a fault of one or more phases of the electrical machine, and, where a fault is sensed: controlling the electrical machine to operate in a fault condition, in which the non-faulty phases of the electrical machine provide the electrical power requirement; and determining whether the power provided by the remaining non-faulty electrical phases exceeds the nominal power rating of the respective phase, and providing an overrating signal to a flight computer of the aircraft where the power provided by each phase exceeds the nominal power rating of the respective phase.","B64D B65D H02P ","B64D:EQUIPMENT FOR FITTING IN OR TO AIRCRAFT; FLIGHT SUITS; PARACHUTES; ARRANGEMENT OR MOUNTING OF POWER PLANTS OR PROPULSION TRANSMISSIONS IN AIRCRAFT
;B65D:CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS; ACCESSORIES, CLOSURES, OR FITTINGS THEREFOR; PACKAGING ELEMENTS; PACKAGES
;H02P:CONTROL OR REGULATION OF ELECTRIC MOTORS, ELECTRIC GENERATORS OR DYNAMO-ELECTRIC CONVERTERS; CONTROLLING TRANSFORMERS, REACTORS OR CHOKE COILS
;","B H"
"9721813","2017-08-01","1. A liquid processing apparatus comprising: a substrate holding unit configured to hold a substrate to be processed horizontally so that the substrate is processed with a processing liquid; a substrate rotating mechanism configured to rotate the substrate holding unit; a cup configured to surround the substrate held by the substrate holding unit and receive the processing liquid after the processing liquid is supplied to the substrate; a cleaning jig disposed on the substrate holding unit and configured to clean the cup, the cleaning jig being formed in a disc shape and provided with an inclined portion on a top surface thereof around an entire circumference in the vicinity of an outer circumferential edge of the cleaning jig, and the inclined portion of the cleaning jig being inclined upward toward an outside of the cleaning jig in a diameter direction; a cleaning jig accommodating unit configured to accommodate the cleaning jig; the substrate holding unit provided with a substrate holding body configured to hold the outer circumferential edge of the cleaning jig, wherein the outer circumferential edge of the cleaning jig has a shape which is held by the substrate holding body; and a cleaning liquid supplying unit disposed at an upper side of the substrate holding unit and configured to supply a cleaning liquid, wherein the inclined portion of the cleaning jig is angled such that a virtual line extended from an upper end of the inclined portion toward the outside of the cleaning jig is positioned above an upper portion of the cup, and the cleaning liquid supplied by the cleaning liquid supplying unit is supplied to a top surface of the cleaning jig.","B08B H01L ","B08B:CLEANING IN GENERAL; PREVENTION OF FOULING IN GENERAL (brushes A46; devices for domestic or like cleaning A47L; {cleaning golf-clubs or golf accessories A63B57/60; cleaning grips of bats on rackets A63B60/36} ; separation of particles from liquids or gases B01D; separation of solids B03, B07; spraying or applying liquids or other fluent materials to surfaces in general B05; cleaning devices for conveyors B65G45/10; concurrent cleaning, filling and closing of bottles B67C7/00; inhibiting corrosion or incrustation in general C23; cleaning streets, permanent ways, beaches or land E01H; parts, details or accessories of swimming or splash baths or pools, specially adapted for cleaning E04H4/16; preventing or removing electrostatic charges H05F)
;H01L:SEMICONDUCTOR DEVICES NOT COVERED BY CLASS H10 (use of semiconductor devices for measuring G01; resistors in general H01C; magnets, inductors or transformers H01F; capacitors in general H01G; electrolytic devices H01G9/00; batteries or accumulators H01M; waveguides, resonators or lines of the waveguide type H01P; line connectors or current collectors H01R; stimulated-emission devices H01S; electromechanical resonators H03H; loudspeakers, microphones, gramophone pick-ups or like acoustic electromechanical transducers H04R; electric light sources in general H05B; printed circuits, hybrid circuits, casings or constructional details of electrical apparatus, manufacture of assemblages of electrical components H05K; use of semiconductor devices in circuits having a particular application, see the subclass for the application)
;","B H"
